site,pv_kwp,battery_kwh,mult,capex,stress,battery_life_yr,cash_day,ch4_kg_per_day,payback
London,1100.0,2500.0,0.65,2161937.1098762234,0.7803240334980597,11.793946433608951,257.7510378449937,72.67896564378677,inf
London,1100.0,2500.0,0.675,2191434.691025309,0.7803240334980597,11.793946433608951,255.3265791204113,72.67896564378677,inf
London,1100.0,2500.0,0.7,2220932.2721743947,0.7803240334980597,11.793946433608951,252.90212039582892,72.67896564378677,inf
London,1100.0,2500.0,0.725,2250429.85332348,0.7803240334980597,11.793946433608951,250.47766167124658,72.67896564378677,inf
London,1100.0,2500.0,0.75,2279927.4344725655,0.7803240334980597,11.793946433608951,248.0532029466642,72.67896564378677,inf
London,1100.0,2500.0,0.775,2309425.015621651,0.7803240334980597,11.793946433608951,245.62874422208182,72.67896564378677,inf
London,1100.0,2500.0,0.8,2338922.5967707364,0.7803240334980597,11.793946433608951,243.20428549749946,72.67896564378677,inf
London,1100.0,2500.0,0.825,2368420.177919822,0.7803240334980597,11.793946433608951,240.7798267729171,72.67896564378677,inf
London,1100.0,2500.0,0.85,2397917.7590689072,0.7803240334980597,11.793946433608951,238.35536804833473,72.67896564378677,inf
London,1100.0,2500.0,0.875,2427415.3402179927,0.7803240334980597,11.793946433608951,235.93090932375236,72.67896564378677,inf
London,1100.0,2500.0,0.9,2456912.9213670786,0.7803240334980597,11.793946433608951,233.50645059917,72.67896564378677,inf
London,1100.0,2500.0,0.925,2486410.502516164,0.7803240334980597,11.793946433608951,231.0819918745876,72.67896564378677,inf
London,1100.0,2500.0,0.95,2515908.08366525,0.7803240334980597,11.793946433608951,228.6575331500052,72.67896564378677,inf
London,1100.0,2500.0,0.975,2545405.6648143353,0.7803240334980597,11.793946433608951,226.2330744254228,72.67896564378677,inf
London,1100.0,2500.0,1.0,2574903.2459634207,0.7803240334980597,11.793946433608951,223.80861570084048,72.67896564378677,inf
London,1500.0,500.0,0.0,1175000.0,0.8776373529896754,9.853482959825806,363.63140995930735,76.81781754295432,14.83333333333337
London,1500.0,500.0,0.025,1204497.5811490854,0.8776373529896754,9.853482959825806,361.20695123472495,76.81781754295432,15.666666666666709
London,1500.0,500.0,0.05,1233995.162298171,0.8776373529896754,9.853482959825806,358.78249251014256,76.81781754295432,16.500000000000036
London,1500.0,500.0,0.075,1263492.7434472565,0.8776373529896754,9.853482959825806,356.3580337855602,76.81781754295432,17.50000000000002
London,1500.0,500.0,0.1,1292990.3245963422,0.8776373529896754,9.853482959825806,353.93357506097783,76.81781754295432,18.500000000000007
London,1500.0,500.0,0.125,1322487.9057454276,0.8776373529896754,9.853482959825806,351.5091163363955,76.81781754295432,19.583333333333325
London,1500.0,500.0,0.15,1351985.486894513,0.8776373529896754,9.853482959825806,349.0846576118131,76.81781754295432,21.833333333333293
London,1500.0,500.0,0.175,1381483.0680435987,0.8776373529896754,9.853482959825806,346.66019888723076,76.81781754295432,23.33333333333327
London,1500.0,500.0,0.2,1410980.649192684,0.8776373529896754,9.853482959825806,344.23574016264837,76.81781754295432,24.916666666666583
London,1500.0,500.0,0.225,1440478.2303417698,0.8776373529896754,9.853482959825806,341.811281438066,76.81781754295432,inf
London,1500.0,500.0,0.25,1469975.8114908552,0.8776373529896754,9.853482959825806,339.38682271348364,76.81781754295432,inf
London,1500.0,500.0,0.275,1499473.3926399406,0.8776373529896754,9.853482959825806,336.96236398890125,76.81781754295432,inf
London,1500.0,500.0,0.3,1528970.9737890263,0.8776373529896754,9.853482959825806,334.53790526431885,76.81781754295432,inf
London,1500.0,500.0,0.325,1558468.5549381117,0.8776373529896754,9.853482959825806,332.1134465397365,76.81781754295432,inf
London,1500.0,500.0,0.35,1587966.1360871973,0.8776373529896754,9.853482959825806,329.6889878151541,76.81781754295432,inf
London,1500.0,500.0,0.375,1617463.7172362828,0.8776373529896754,9.853482959825806,327.2645290905717,76.81781754295432,inf
London,1500.0,500.0,0.4,1646961.2983853682,0.8776373529896754,9.853482959825806,324.8400703659894,76.81781754295432,inf
London,1500.0,500.0,0.425,1676458.8795344536,0.8776373529896754,9.853482959825806,322.41561164140705,76.81781754295432,inf
London,1500.0,500.0,0.45,1705956.4606835393,0.8776373529896754,9.853482959825806,319.99115291682466,76.81781754295432,inf
London,1500.0,500.0,0.475,1735454.041832625,0.8776373529896754,9.853482959825806,317.56669419224227,76.81781754295432,inf
London,1500.0,500.0,0.5,1764951.6229817104,0.8776373529896754,9.853482959825806,315.14223546765993,76.81781754295432,inf
London,1500.0,500.0,0.525,1794449.2041307958,0.8776373529896754,9.853482959825806,312.71777674307754,76.81781754295432,inf
London,1500.0,500.0,0.55,1823946.7852798812,0.8776373529896754,9.853482959825806,310.29331801849514,76.81781754295432,inf
London,1500.0,500.0,0.575,1853444.3664289669,0.8776373529896754,9.853482959825806,307.8688592939128,76.81781754295432,inf
London,1500.0,500.0,0.6,1882941.9475780525,0.8776373529896754,9.853482959825806,305.4444005693304,76.81781754295432,inf
London,1500.0,500.0,0.625,1912439.528727138,0.8776373529896754,9.853482959825806,303.019941844748,76.81781754295432,inf
London,1500.0,500.0,0.65,1941937.1098762234,0.8776373529896754,9.853482959825806,300.5954831201657,76.81781754295432,inf
London,1500.0,500.0,0.675,1971434.6910253088,0.8776373529896754,9.853482959825806,298.17102439558334,76.81781754295432,inf
London,1500.0,500.0,0.7,2000932.2721743945,0.8776373529896754,9.853482959825806,295.74656567100095,76.81781754295432,inf
London,1500.0,500.0,0.725,2030429.85332348,0.8776373529896754,9.853482959825806,293.32210694641856,76.81781754295432,inf
London,1500.0,500.0,0.75,2059927.4344725653,0.8776373529896754,9.853482959825806,290.8976482218362,76.81781754295432,inf
London,1500.0,500.0,0.775,2089425.015621651,0.8776373529896754,9.853482959825806,288.4731894972539,76.81781754295432,inf
London,1500.0,500.0,0.8,2118922.5967707364,0.8776373529896754,9.853482959825806,286.0487307726715,76.81781754295432,inf
London,1500.0,500.0,0.825,2148420.177919822,0.8776373529896754,9.853482959825806,283.6242720480891,76.81781754295432,inf
London,1500.0,500.0,0.85,2177917.7590689072,0.8776373529896754,9.853482959825806,281.19981332350676,76.81781754295432,inf
London,1500.0,500.0,0.875,2207415.3402179927,0.8776373529896754,9.853482959825806,278.77535459892437,76.81781754295432,inf
London,1500.0,500.0,0.9,2236912.9213670786,0.8776373529896754,9.853482959825806,276.350895874342,76.81781754295432,inf
London,1500.0,500.0,0.925,2266410.502516164,0.8776373529896754,9.853482959825806,273.92643714975964,76.81781754295432,inf
London,1500.0,500.0,0.95,2295908.08366525,0.8776373529896754,9.853482959825806,271.5019784251772,76.81781754295432,inf
London,1500.0,500.0,0.975,2325405.6648143353,0.8776373529896754,9.853482959825806,269.07751970059485,76.81781754295432,inf
London,1500.0,500.0,1.0,2354903.2459634207,0.8776373529896754,9.853482959825806,266.6530609760125,76.81781754295432,inf
London,1500.0,1500.0,0.0,1425000.0,1.0185615321451544,10.062988164774291,404.9900373996743,87.1344164343431,19.999999999999986
London,1500.0,1500.0,0.025,1454497.5811490854,1.0185615321451544,10.062988164774291,402.56557867509196,87.1344164343431,24.08333333333326
London,1500.0,1500.0,0.05,1483995.162298171,1.0185615321451544,10.062988164774291,400.1411199505096,87.1344164343431,inf
London,1500.0,1500.0,0.075,1513492.7434472565,1.0185615321451544,10.062988164774291,397.7166612259272,87.1344164343431,inf
London,1500.0,1500.0,0.1,1542990.3245963422,1.0185615321451544,10.062988164774291,395.29220250134483,87.1344164343431,inf
London,1500.0,1500.0,0.125,1572487.9057454276,1.0185615321451544,10.062988164774291,392.8677437767625,87.1344164343431,inf
London,1500.0,1500.0,0.15,1601985.486894513,1.0185615321451544,10.062988164774291,390.4432850521801,87.1344164343431,inf
London,1500.0,1500.0,0.175,1631483.0680435987,1.0185615321451544,10.062988164774291,388.0188263275977,87.1344164343431,inf
London,1500.0,1500.0,0.2,1660980.649192684,1.0185615321451544,10.062988164774291,385.59436760301537,87.1344164343431,inf
London,1500.0,1500.0,0.225,1690478.2303417698,1.0185615321451544,10.062988164774291,383.169908878433,87.1344164343431,inf
London,1500.0,1500.0,0.25,1719975.8114908552,1.0185615321451544,10.062988164774291,380.7454501538506,87.1344164343431,inf
London,1500.0,1500.0,0.275,1749473.3926399406,1.0185615321451544,10.062988164774291,378.32099142926825,87.1344164343431,inf
London,1500.0,1500.0,0.3,1778970.9737890263,1.0185615321451544,10.062988164774291,375.89653270468585,87.1344164343431,inf
London,1500.0,1500.0,0.325,1808468.5549381117,1.0185615321451544,10.062988164774291,373.47207398010346,87.1344164343431,inf
London,1500.0,1500.0,0.35,1837966.1360871973,1.0185615321451544,10.062988164774291,371.0476152555211,87.1344164343431,inf
London,1500.0,1500.0,0.375,1867463.7172362828,1.0185615321451544,10.062988164774291,368.6231565309388,87.1344164343431,inf
London,1500.0,1500.0,0.4,1896961.2983853682,1.0185615321451544,10.062988164774291,366.1986978063564,87.1344164343431,inf
London,1500.0,1500.0,0.425,1926458.8795344536,1.0185615321451544,10.062988164774291,363.774239081774,87.1344164343431,inf
London,1500.0,1500.0,0.45,1955956.4606835393,1.0185615321451544,10.062988164774291,361.34978035719166,87.1344164343431,inf
London,1500.0,1500.0,0.475,1985454.041832625,1.0185615321451544,10.062988164774291,358.92532163260927,87.1344164343431,inf
London,1500.0,1500.0,0.5,2014951.6229817104,1.0185615321451544,10.062988164774291,356.5008629080269,87.1344164343431,inf
London,1500.0,1500.0,0.525,2044449.2041307958,1.0185615321451544,10.062988164774291,354.07640418344454,87.1344164343431,inf
London,1500.0,1500.0,0.55,2073946.7852798812,1.0185615321451544,10.062988164774291,351.6519454588622,87.1344164343431,inf
London,1500.0,1500.0,0.575,2103444.3664289666,1.0185615321451544,10.062988164774291,349.2274867342798,87.1344164343431,inf
